Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;BlogCount;PostsPerBlog;CommentsPerPost;OwnerCount;Mean;Error;StdDev;Median;Ratio;RatioSD;Gen0;Gen1;Gen2;Allocated;Alloc Ratio
"'SingleQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;1;1;841.3 μs;14.69 μs;13.02 μs;844.3 μs;1.44;0.05;5.8594;0.0000;0.0000;91.95 KB;13.16
"'SplitQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;1;1;"1,987.2 μs";39.68 μs;87.93 μs;"1,978.7 μs";3.40;0.18;7.8125;0.0000;0.0000;100.93 KB;14.45
"'Raw SQL - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;1;1;585.4 μs;11.46 μs;17.84 μs;581.9 μs;1.00;0.04;0.0000;0.0000;0.0000;6.99 KB;1.00
"'SingleQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;1;5;791.2 μs;15.80 μs;23.65 μs;792.0 μs;1.40;0.06;7.8125;0.0000;0.0000;95.84 KB;12.93
"'SplitQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;1;5;"1,941.0 μs";38.25 μs;45.53 μs;"1,943.1 μs";3.44;0.12;7.8125;0.0000;0.0000;103.12 KB;13.91
"'Raw SQL - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;1;5;564.2 μs;10.89 μs;14.90 μs;567.0 μs;1.00;0.04;0.0000;0.0000;0.0000;7.41 KB;1.00
"'SingleQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;10;1;885.0 μs;17.61 μs;20.28 μs;883.1 μs;1.34;0.04;7.8125;0.0000;0.0000;113.54 KB;6.38
"'SplitQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;10;1;"1,991.3 μs";39.78 μs;58.32 μs;"1,981.9 μs";3.01;0.11;7.8125;0.0000;0.0000;120.41 KB;6.76
"'Raw SQL - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;10;1;662.7 μs;13.00 μs;14.44 μs;661.4 μs;1.00;0.03;0.9766;0.0000;0.0000;17.8 KB;1.00
"'SingleQuery - Include Posts, Comments & Owners'";DefaultJob;False;Default;Default;Default;Default;Default;Default;1111111111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;1;10;5;880.4 μs;17.29 μs;16.98 μs;881.0 μs;1.35;0.05;9.7656;0.0000;0.0000;121.73 KB;6.30
